AMSB_mGrav32K_0p5ns      0.953313678997 0.953313678997
AMSB_mGrav32K_1ns        0.951967311107 0.951967311107
AMSB_mGrav32K_5ns        0.951920826501 0.951920826501
AMSB_mGrav50K_0p5ns      0.947901622317 0.947901622317
AMSB_mGrav50K_1ns        0.950522386182 0.950522386182
AMSB_mGrav50K_5ns        0.948865288847 0.948865288847
AMSB_mGrav61K_0p5ns      0.949863352028 0.949863352028
AMSB_mGrav61K_1ns        0.950299826724 0.950299826724
AMSB_mGrav61K_5ns        0.955129469886 0.955129469886
AMSB_mGrav75K_0p5ns      0.952749892038 0.952749892038
AMSB_mGrav75K_1ns        0.952164496891 0.952164496891
AMSB_mGrav75K_5ns        0.952583051968 0.952583051968
AMSB_mGrav100K_0p5ns     0.947589083396 0.947589083396
AMSB_mGrav100K_1ns       0.95151877825 0.95151877825
AMSB_mGrav100K_5ns       0.951028177446 0.951028177446
AMSB_mGrav125K_0p5ns     0.955646928233 0.955646928233
AMSB_mGrav125K_1ns       0.954711836379 0.954711836379
AMSB_mGrav125K_5ns       0.952625630091 0.952625630091
AMSB_mGrav150K_0p5ns     0.950691547424 0.950691547424
AMSB_mGrav150K_1ns       0.949410023216 0.949410023216
AMSB_mGrav150K_5ns       0.952564289744 0.952564289744
