AMSB_mGrav50K_0p5ns      1.08598194546 1.08598194546
AMSB_mGrav50K_1ns        1.08373419198 1.08373419198
AMSB_mGrav50K_5ns        1.08610550923 1.08610550923
AMSB_mGrav75K_0p5ns      1.08924922563 1.08924922563
AMSB_mGrav75K_1ns        1.08612237509 1.08612237509
AMSB_mGrav75K_5ns        1.08043030681 1.08043030681
AMSB_mGrav100K_0p5ns     1.08974121227 1.08974121227
AMSB_mGrav100K_1ns       1.08089801897 1.08089801897
AMSB_mGrav100K_5ns       1.08824503628 1.08824503628
AMSB_mGrav125K_0p5ns     1.09258564583 1.09258564583
AMSB_mGrav125K_1ns       1.08638917829 1.08638917829
AMSB_mGrav125K_5ns       1.08984608988 1.08984608988
AMSB_mGrav150K_0p5ns     1.09542736719 1.09542736719
AMSB_mGrav150K_1ns       1.08618657031 1.08618657031
AMSB_mGrav150K_5ns       1.09065036151 1.09065036151
