AMSB_mGrav32K_0p5ns      1.08586901358 1.08586901358
AMSB_mGrav32K_1ns        1.08868889617 1.08868889617
AMSB_mGrav32K_5ns        1.09154142833 1.09154142833
AMSB_mGrav50K_0p5ns      1.08955955106 1.08955955106
AMSB_mGrav50K_1ns        1.09270859432 1.09270859432
AMSB_mGrav50K_5ns        1.08100598014 1.08100598014
AMSB_mGrav61K_0p5ns      1.09096139292 1.09096139292
AMSB_mGrav61K_1ns        1.08867826981 1.08867826981
AMSB_mGrav61K_5ns        1.08514137568 1.08514137568
AMSB_mGrav75K_0p5ns      1.08874427148 1.08874427148
AMSB_mGrav75K_1ns        1.08919928527 1.08919928527
AMSB_mGrav75K_5ns        1.08593046745 1.08593046745
AMSB_mGrav100K_0p5ns     1.08534724622 1.08534724622
AMSB_mGrav100K_1ns       1.0887632283 1.0887632283
AMSB_mGrav100K_5ns       1.08704034923 1.08704034923
AMSB_mGrav125K_0p5ns     1.08467193903 1.08467193903
AMSB_mGrav125K_1ns       1.08911601171 1.08911601171
AMSB_mGrav125K_5ns       1.08551533336 1.08551533336
AMSB_mGrav150K_0p5ns     1.0821890896 1.0821890896
AMSB_mGrav150K_1ns       1.0855231204 1.0855231204
AMSB_mGrav150K_5ns       1.08880376192 1.08880376192
